1,AMZN,2024-09-30,-0.0336918452036824984,-0.0212834496482536222,-0.0549752948519361206,0.0103930972041672221
2,GOOGL,2024-09-30,0.0077303024564094467,0.0227306324428602613,0.0304609348992697080,0.0080503425026896694
1,AMZN,2024-12-31,-0.0068488146383455437,0.0089399314969714149,0.0020911168586258712,0.0026398951873935948
2,GOOGL,2024-12-31,0.0023614054333988115,0.0099933385560605574,0.0123547439894593689,0.0041642153935768158
1,AMZN,2025-03-31,-0.0112983449355498641,-0.0288541502057722796,-0.0401524951413221437,0.0111940794499794084
2,GOOGL,2025-03-31,-0.0453556512727367863,0.0209676956744275715,-0.0243879555983092148,0.0120043431631421944
1,AMZN,2025-06-30,0.0309679342756252830,-0.0153853739180320434,0.0155825603575932396,0.0138989229016154619
2,GOOGL,2025-06-30,0.0509272323868727699,-0.0103627924848542603,0.0405644399020185096,0.0123227579246105236
1,AMZN,2025-09-30,0.0048198182667694970,-0.0202183045062587197,-0.0153984862394892227,0.0061811236932893619
2,GOOGL,2025-09-30,-0.0166827952613109235,-0.0030183316043502326,-0.0197011268656611561,0.0041295808704268791
