AMZN,2024-09-30,2024-09-25,-3,192.5300,18082.2051,-0.0073726541554959785,0.0004251066895463871,-0.0077977608450423656,-0.0077977608450423656,Pre-Earnings,158877000000,1.4600
AMZN,2024-09-30,2024-09-26,-2,191.1600,18190.2910,-0.0071157741650651846,0.0059774734000777372,-0.0130932475651429218,-0.0208910084101852874,Pre-Earnings,158877000000,1.4600
AMZN,2024-09-30,2024-09-27,-1,187.9700,18119.5898,-0.0166875915463486084,-0.0038867547528513974,-0.0128008367934972110,-0.0336918452036824984,Pre-Earnings,158877000000,1.4600
AMZN,2024-09-30,2024-09-30,0,186.3300,18189.1699,-0.0087247965100813959,0.0038400482995481498,-0.0125648448096295457,-0.0462566900133120441,Earnings Day,158877000000,1.4600
AMZN,2024-09-30,2024-10-01,1,185.1300,17910.3594,-0.0064401867654161970,-0.0153283795540334141,0.0088881927886172171,-0.0373684972246948270,Post-Earnings,158877000000,1.4600
AMZN,2024-09-30,2024-10-02,2,184.7600,17925.1230,-0.0019985955814832820,0.0008243050667090466,-0.0028229006481923286,-0.0401913978728871556,Post-Earnings,158877000000,1.4600
AMZN,2024-09-30,2024-10-03,3,181.9600,17918.4746,-0.0151547954102619614,-0.0003708984312129964,-0.0147838969790489650,-0.0549752948519361206,Post-Earnings,158877000000,1.4600
AMZN,2024-12-31,2024-12-26,-3,227.0500,20020.3574,-0.0087317179655097140,-0.0005376432389450678,-0.0081940747265646462,-0.0081940747265646462,Pre-Earnings,187792000000,1.9000
AMZN,2024-12-31,2024-12-27,-2,223.7500,19722.0313,-0.0145342435586875137,-0.0149011375790923692,0.0003668940204048555,-0.0078271807061597907,Pre-Earnings,187792000000,1.9000
AMZN,2024-12-31,2024-12-30,-1,221.3000,19486.7852,-0.0109497206703910614,-0.0119280867382053084,0.0009783660678142470,-0.0068488146383455437,Pre-Earnings,187792000000,1.9000
AMZN,2024-12-31,2024-12-31,0,219.3900,19310.7910,-0.0086308178942611839,-0.0090314640508276347,0.0004006461565664508,-0.0064481684817790929,Earnings Day,187792000000,1.9000
AMZN,2024-12-31,2025-01-02,1,220.2200,19280.7930,0.0037832171019645380,-0.0015534319645425192,0.0053366490665070572,-0.0011115194152720357,Post-Earnings,187792000000,1.9000
AMZN,2024-12-31,2025-01-03,2,224.1900,19621.6777,0.0180274271183362092,0.0176800145097766466,0.0003474126085595626,-0.0007641068067124731,Post-Earnings,187792000000,1.9000
AMZN,2024-12-31,2025-01-06,3,227.6100,19864.9805,0.0152549177037334403,0.0123996940383950960,0.0028552236653383443,0.0020911168586258712,Post-Earnings,187792000000,1.9000
AMZN,2025-03-31,2025-03-26,-3,201.1300,17899.0098,-0.0222643527295707549,-0.0204056736557419000,-0.0018586790738288549,-0.0018586790738288549,Pre-Earnings,155667000000,1.6200
AMZN,2025-03-31,2025-03-27,-2,201.3600,17804.0293,0.0011435390046238751,-0.0053064667297964158,0.0064500057344202909,0.0045913266605914360,Pre-Earnings,155667000000,1.6200
AMZN,2025-03-31,2025-03-28,-1,192.7200,17322.9902,-0.0429082240762812872,-0.0270185524801399871,-0.0158896715961413001,-0.0112983449355498641,Pre-Earnings,155667000000,1.6200
AMZN,2025-03-31,2025-03-31,0,190.2600,17299.2891,-0.0127646326276463262,-0.0013681875776850580,-0.0113964450499612682,-0.0226947899855111323,Earnings Day,155667000000,1.6200
AMZN,2025-03-31,2025-04-01,1,192.1700,17449.8906,0.0100388941448544097,0.0087056467540044752,0.0013332473908499345,-0.0213615425946611978,Post-Earnings,155667000000,1.6200
AMZN,2025-03-31,2025-04-02,2,196.0100,17601.0508,0.0199823073320497476,0.0086625299530531154,0.0113197773789966322,-0.0100417652156645656,Post-Earnings,155667000000,1.6200
AMZN,2025-03-31,2025-04-03,3,178.4100,16550.6094,-0.0897913371766746594,-0.0596806072510170813,-0.0301107299256575781,-0.0401524951413221437,Post-Earnings,155667000000,1.6200
AMZN,2025-06-30,2025-06-25,-3,211.9900,19973.5508,-0.0036659303473234008,0.0030644776000404930,-0.0067304079473638938,-0.0067304079473638938,Pre-Earnings,167702000000,1.7100
AMZN,2025-06-30,2025-06-26,-2,217.1200,20167.9102,0.0241992546818246143,0.0097308386448743004,0.0144684160369503139,0.0077380080895864201,Pre-Earnings,167702000000,1.7100
